rank,grade,usernme,uploads,subscribers,top_views
242,A ,Desi Music Factory,88,16M,3187909048
243,A- ,Technical Guruji,2987,16M,1739141941
244,A+ ,Peppa Pig - Official Channel,886,16M,9940111391
245,A ,TheDonato,1105,16M,2147326781
246,A ,Bollywood Classics,1833,16M,8725665245
247,A ,Wow Kidz,4811,15.9M,8432298640
248,A ,Linkin Park,506,15.9M,8179166589
249,B ,Lady Gaga,165,15.8M,121495426
250,A ,Like Nastya Vlog,243,15.7M,5364605390
251,A ,Toys And Little Gaby,310,15.7M,6628468707
252,A+ ,BabyBus - Nursery Rhymes,1385,15.7M,10033376804
253,A ,Kids TV - Nursery Rhymes And Baby …,2621,15.6M,6599358140
254,A- ,America's Got Talent,2286,15.6M,3432523903
255,B+ ,Vsauce,367,15.6M,1832045668
256,A- ,AdeleVEVO,31,15.6M,8795842668
257,A ,Pencilmation,660,15.6M,7586122143
258,A ,jypentertainment,1114,15.5M,8690489267
259,A ,Clash of Clans,377,15.4M,2374312673
260,A ,Venus Movies,2728,15.4M,5774196081
261,A- ,Canal IN,396,15.3M,1924108724
262,A ,Guava Juice,1499,15.3M,7005761726
263,A- ,Reaction Time,1693,15.3M,4811308433
264,A- ,JFlaMusic,254,15.3M,2805807062
265,A- ,FaZe Rug,1601,15.3M,3303988770
266,A ,Mikecrack,1389,15.3M,5613396156
267,B+ ,Roman Atwood Vlogs,1655,15.3M,5213689496
268,A+ ,Sesame Street,2990,15.3M,12711460923
269,A- ,Noor Stars,500,15.2M,1867841219
270,A- ,ExtraPolinesios,409,15.2M,3887381629
271,B+ ,Willyrex,5298,15.2M,4039920099
272,B+ ,W2S,655,15.2M,4413898529
273,A- ,Paulo Londra,41,15.2M,3865937563
274,A ,Britain's Got Talent,2696,15.1M,8746556577
275,A- ,Infinite,1074,15.1M,2537631782
276,A ,GEN HALILINTAR,735,15.1M,2699788121
277,A ,Maroon5VEVO,121,15.1M,15038655065
278,A- ,RsiamMusic : อาร์สยา…,2072,15.1M,9376602293
279,B ,Romeo Santos,15,15M,353479126
280,A ,SelenaGomezVEVO,161,15M,8373981800
281,A- ,CKN Toys,664,15M,13955890789
282,B+ ,Lilly Singh,798,14.9M,3324097533
283,A ,Tu COSMOPOLIS,2960,14.8M,3433047007
284,A ,Jingle Toons,203,14.7M,4845724673
285,B+ ,ERB,80,14.7M,3471303141
286,A ,Disney,5027,14.6M,11079637972
287,B+ ,Sandeep Maheshwari,272,14.6M,836547998
288,A- ,FailArmy,299,14.6M,1304935598
289,A ,Masha and The Bear,489,14.6M,6285724634
290,A- ,Movieclips Trailers,8336,14.6M,11533360676
291,A- ,TheOdd1sOut,114,14.6M,2970537080
292,A ,Sonotek,8194,14.6M,5146118927
293,A- ,HowToBasic,522,14.5M,2531502855
294,D- ,Genevieve's Playhouse - Toy Learni…,499,14.5M,6115277197
295,A ,Bounce Patrol - Kids Songs,173,14.5M,8152094744
296,A ,MalumaVEVO,114,14.5M,13313889773
297,B+ ,Rclbeauty101,441,14.5M,3645598694
298,A ,Turma da Mônica,922,14.5M,10045362681
299,A ,SQUEEZIE,1371,14.4M,7442757925
300,A ,FGTeeV,1349,14.4M,14764780996
301,A ,Netflix,3895,14.4M,2884087393
302,A- ,Musas,563,14.4M,2004944283
303,A- ,DeToxoMoroxo,382,14.3M,1685895241
304,A- ,Fatos Desconhecidos,3145,14.3M,1967659028
305,A ,Oyuncak Avı,384,14.3M,5963665087
306,A ,Wave Music - Bhojpuri,19035,14.2M,8025978432
307,A+ ,infobells - Tamil,327,14.2M,6986063075
308,D- ,الـريماس - Al-Remas,1823,14.2M,8501193939
309,A ,IDEIAS INCRÍVEIS,3350,14.2M,3135457066
310, ,Pop Music - Topic,--,14.1M,-- 
311,A- ,National Geographic,9302,14.1M,3703761704
312,A ,Enaldinho,922,14.1M,2703959716
313,A ,Мирошка ТВ,13,14.1M,3209843040
314,A ,White Hill Music,4019,14.1M,5187975107
315,A ,IDEAS EN 5 MINUTOS,3368,14.1M,2690622652
316,A- ,TheRichest,2572,14.1M,5196546876
317,A- ,Gordon Ramsay,872,14M,2432602788
318,A- ,INCRÍVEL,3296,14M,1831147000
319,A ,TRANS7 OFFICIAL,49770,14M,6062409280
320,B+ ,Wengie,289,14M,1671089609
321,B+ ,Boram Tube ToysReview [보람튜�…,303,13.9M,4509760153
322,A ,Worldwide Records Bhojpuri,3517,13.9M,6587839708
323,A- ,Anitta,60,13.9M,4626773845
324,A ,infobells - Telugu,307,13.9M,6310684471
325,A- ,NBA,33566,13.9M,6855786104
326,A ,Rotana,7445,13.9M,9250736167
327,A ,SSundee,2403,13.9M,6350522068
328,A- ,Boyce Avenue,385,13.8M,5115244723
329,A- ,CollegeHumor,3598,13.8M,7378923776
330,B+ ,Marvel Entertainment,6738,13.8M,3225942119
331,A ,Dua Lipa,118,13.7M,4734290971
332,A ,Lyrical Lemonade,354,13.6M,5269243884
333,A- ,Trap City,1960,13.6M,3930083479
334,A- ,officialpsy,90,13.6M,7581759401
335,A ,jbalvinVEVO,174,13.6M,13928622558
336,B+ ,Cyprien,171,13.6M,2502191367
337,B+ ,The Slow Mo Guys,269,13.6M,2027933201
338,A ,Rans Entertainment,1231,13.6M,2429971351
339,A ,Jess No Limit,957,13.6M,1229963975
340,A ,LazarBeam,1174,13.6M,4911788691
341,A ,Mnet K-POP,19175,13.5M,8571845455
342,A ,Saregama Music,3658,13.5M,4215519375
343,A- ,TheBrianMaps,411,13.5M,3028897959
344,A ,""">Gusttavo Lima Oficial",270,13.5M,5886916028
345,A- ,HiMan,173,13.5M,1137243595
346,A- ,Manual do Mundo,1595,13.5M,2398851847
347,A- ,Martin Garrix,153,13.5M,4145179667
348,B ,Miley Cyrus,99,13.5M,393954284
349,A ,TheGrefg,2757,13.5M,3802139570
350,A- ,AM3NlC,4454,13.4M,4134945857
351,A ,Got Talent Global,1613,13.4M,5103226865
352,A- ,MattyBRaps,256,13.4M,6368854404
353,A+ ,Little Angel: Nursery Rhymes & Kid…,968,13.4M,7738449569
354,B ,Camila Cabello,34,13.4M,74288227
355,A ,Troom Troom Es,1364,13.4M,3865311208
356,A ,CookieSwirlC,3225,13.3M,13144479322
357,A ,IGN,137388,13.3M,10397133876
358,A ,Peppa Pig Español Latino - Canal …,560,13.3M,3088022929
359,B+ ,Pitbull,249,13.3M,490118862
360,A- ,EnriqueIglesiasVEVO,128,13.3M,12586691162
361,B ,Little Mix,248,13.3M,81375906
362,A- ,Major Lazer,347,13.3M,7179588373
363,A+ ,Nick Jr.,3328,13.3M,10848998301
364,B+ ,NikkieTutorials,782,13.3M,1306822869
365,B+ ,Sebastián Yatra,68,13.3M,512159411
366,A ,The Lallantop,14814,13.3M,3604721487
367,A ,ARY Digital,26042,13.2M,7511276752
368,A- ,FactTechz,275,13.2M,1155469556
369, ,Minecraft - Topic,--,13.2M,-- 
370,A- ,Sandra Cires Art,822,13.2M,2311499755
371,A- ,BeyoncéVEVO,141,13.2M,10741533097
372,B ,Fifth Harmony,67,13.2M,136152100
373,A- ,Round2hell,59,13.2M,1197236249
374,A ,Masha y el Oso,394,13.2M,4637758004
375,A ,Aditya Music,16682,13.1M,8936462901
376,A- ,Katie Angel,366,13.1M,1802590308
377,A- ,Jorge & Mateus Oficial,244,13.1M,5252923491
378,A ,Kaykai Salaider,309,13.1M,2767144741
379,A- ,Makiman131,2624,13.1M,3442293533
