rank,grade,name,posts/media,followers,following
478,A ,Егор Крид | #HeartBreakKid,4101,12707527,153
479,A ,BBC News,9854,12686869,67
480,A ,Adriana Lima,1655,12587700,1705
481,A ,Jordi Alba,886,12583130,610
482,A ,DAVID DOBRIK,442,12580217,270
483,A ,Pharrell Williams,814,12550763,637
484,A ,French Montana,175,12530488,2310
485,A ,John Legend,1845,12530227,739
486,A ,Ashley Tisdale,3257,12522047,549
487,A ,AnaCheri,2021,12514674,783
488,A ,KAYLA ITSINES,9652,12513841,548
489,A ,Antonela Roccuzzo,544,12498477,581
490,A ,João Guilherme,1997,12457309,1495
491,A ,Marcos Mion,5395,12444223,2708
492,A ,Lizbeth Rodriguez,202,12442902,2337
493,A ,IZA,1815,12393298,1574
494,A ,FASHION • BEAUTY • LIFESTYLE,12856,12392974,1812
495,A ,Nat Geo in the Field,3064,12392546,4
496,A ,TATI ZAQUI ?,6686,12387565,626
497,A ,TIP,5219,12381785,2677
498,A ,Joanna Stevens Gaines,2245,12371689,561
499,A ,“BLAME IT ON BABY” OUT NOW!,768,12362002,59
500,A ,BUGATTI,984,12350520,174
